layout,sa_iters,greedy,tree_depth,explore,run,elapsed_s,rollouts,best_score,rollouts_per_s
nrts-oxey,10000,1,3,1.41,4,120.69,920,-244700000000,7.6
nrts-oxey,10000,1,3,1.41,5,121.00,920,-231700000000,7.6
nrts-oxey,10000,1,5,1.41,1,120.55,920,-247000000000,7.6
nrts-oxey,10000,1,5,1.41,2,120.92,920,-254100000000,7.6
nrts-oxey,10000,1,5,1.41,3,120.66,920,-256200000000,7.6
nrts-oxey,10000,1,5,1.41,4,120.43,920,-253300000000,7.6
nrts-oxey,10000,1,5,1.41,5,121.27,930,-240400000000,7.7
nrts-oxey,10000,1,1,0.5,1,120.44,910,-226700000000,7.6
nrts-oxey,10000,1,1,0.5,2,121.15,900,-230200000000,7.4
nrts-oxey,10000,1,1,0.5,3,121.23,920,-228200000000,7.6
nrts-oxey,10000,1,1,0.5,4,120.41,920,-227700000000,7.6
nrts-oxey,10000,1,1,0.5,5,120.84,910,-230500000000,7.5
nrts-oxey,10000,1,1,1.0,1,121.22,930,-231400000000,7.7
nrts-oxey,10000,1,1,1.0,2,121.01,930,-232300000000,7.7
nrts-oxey,10000,1,1,1.0,3,121.10,920,-232300000000,7.6
nrts-oxey,10000,1,1,1.0,4,120.99,910,-231200000000,7.5
nrts-oxey,10000,1,1,1.0,5,120.76,900,-232100000000,7.5
nrts-oxey,10000,1,1,2.0,1,120.52,920,-230500000000,7.6
nrts-oxey,10000,1,1,2.0,2,120.90,920,-226400000000,7.6
nrts-oxey,10000,1,1,2.0,3,120.69,910,-233600000000,7.5
nrts-oxey,10000,1,1,2.0,4,121.23,920,-231400000000,7.6
nrts-oxey,10000,1,1,2.0,5,120.20,900,-231200000000,7.5
nrts-oxey,10000,1,1,3.0,1,121.06,920,-231800000000,7.6
nrts-oxey,10000,1,1,3.0,2,120.09,900,-231200000000,7.5
nrts-oxey,10000,1,1,3.0,3,120.49,920,-231200000000,7.6
nrts-oxey,10000,1,1,3.0,4,121.23,930,-230100000000,7.7
nrts-oxey,10000,1,1,3.0,5,120.12,920,-231200000000,7.7
nrts-oxey,1000,1,1,1.41,1,120.23,2900,-234600000000,24.1
nrts-oxey,1000,1,1,1.41,2,120.40,2800,-231400000000,23.3
nrts-oxey,1000,1,1,1.41,3,120.43,2800,-226500000000,23.3
nrts-oxey,1000,1,1,1.41,4,120.08,2800,-231200000000,23.3
nrts-oxey,1000,1,1,1.41,5,120.30,2900,-231500000000,24.1
nrts-oxey,100000,1,1,1.41,1,124.40,100,-227000000000,0.8
nrts-oxey,100000,1,1,1.41,2,124.90,100,-226400000000,0.8
nrts-oxey,100000,1,1,1.41,3,125.03,100,-232300000000,0.8
nrts-oxey,100000,1,1,1.41,4,125.49,100,-228900000000,0.8
nrts-oxey,100000,1,1,1.41,5,126.17,100,-226300000000,0.8
