method,rep,elapsed_secs,best_score
da,1,1050,-1090000000000
da,1,1080,-1090000000000
da,1,1110,-1090000000000
da,1,1140,-1090000000000
da,1,1170,-1090000000000
da,1,1200,-1090000000000
da,1,1230,-1090000000000
da,1,1260,-1090000000000
da,1,1290,-1090000000000
da,1,1320,-1090000000000
da,1,1350,-1090000000000
da,1,1380,-1090000000000
da,1,1410,-1090000000000
da,1,1440,-1090000000000
da,1,1470,-1090000000000
da,1,1500,-1090000000000
da,1,1530,-1090000000000
da,1,1560,-1090000000000
da,1,1590,-1090000000000
da,1,1620,-1090000000000
da,1,1650,-1090000000000
da,1,1680,-1090000000000
da,1,1710,-1090000000000
da,1,1740,-1090000000000
da,1,1770,-1090000000000
da,1,1800,-1090000000000
da,1,1830,-1090000000000
da,1,1860,-1090000000000
da,1,1890,-1090000000000
da,1,1920,-1090000000000
da,1,1950,-1090000000000
da,1,1980,-1090000000000
da,1,2010,-1090000000000
da,1,2040,-1090000000000
da,1,2070,-1090000000000
da,1,2100,-1090000000000
da,1,2130,-1090000000000
da,1,2160,-1090000000000
da,1,2190,-1090000000000
da,1,2220,-1090000000000
da,1,2250,-1090000000000
da,1,2280,-1090000000000
da,1,2310,-1090000000000
da,1,2340,-1090000000000
da,1,2370,-1090000000000
da,1,2400,-1090000000000
mcts,1,30,-2410000000000
mcts,1,60,-2410000000000
mcts,1,90,-2410000000000
mcts,1,120,-2410000000000
mcts,1,150,-2410000000000
mcts,1,180,-2410000000000
mcts,1,210,-2410000000000
mcts,1,240,-2410000000000
mcts,1,270,-2410000000000
mcts,1,300,-2410000000000
mcts,1,330,-2410000000000
mcts,1,360,-2410000000000
mcts,1,390,-2410000000000
mcts,1,420,-2410000000000
mcts,1,450,-2410000000000
mcts,1,480,-2410000000000
mcts,1,510,-2410000000000
mcts,1,540,-2410000000000
mcts,1,570,-2410000000000
mcts,1,600,-2410000000000
mcts,1,630,-2410000000000
mcts,1,660,-2410000000000
mcts,1,690,-2410000000000
mcts,1,720,-2410000000000
mcts,1,750,-2410000000000
mcts,1,780,-2410000000000
mcts,1,810,-2410000000000
mcts,1,840,-2410000000000
mcts,1,870,-2410000000000
mcts,1,900,-2410000000000
mcts,1,930,-2410000000000
mcts,1,960,-2410000000000
mcts,1,990,-2410000000000
mcts,1,1020,-2410000000000
mcts,1,1050,-2410000000000
mcts,1,1080,-2410000000000
mcts,1,1110,-2410000000000
mcts,1,1140,-2410000000000
mcts,1,1170,-2410000000000
mcts,1,1200,-2410000000000
mcts,1,1230,-2410000000000
mcts,1,1260,-2410000000000
mcts,1,1290,-2410000000000
mcts,1,1320,-2410000000000
mcts,1,1350,-2410000000000
mcts,1,1380,-2410000000000
mcts,1,1410,-2410000000000
mcts,1,1440,-2410000000000
mcts,1,1470,-2410000000000
mcts,1,1500,-2410000000000
mcts,1,1530,-2410000000000
mcts,1,1560,-2410000000000
mcts,1,1590,-2410000000000
mcts,1,1620,-2410000000000
mcts,1,1650,-2410000000000
mcts,1,1680,-2410000000000
mcts,1,1710,-2410000000000
mcts,1,1740,-2410000000000
mcts,1,1770,-2410000000000
mcts,1,1800,-2410000000000
mcts,1,1830,-2410000000000
mcts,1,1860,-2410000000000
mcts,1,1890,-2410000000000
mcts,1,1920,-2410000000000
mcts,1,1950,-2410000000000
mcts,1,1980,-2410000000000
mcts,1,2010,-2410000000000
mcts,1,2040,-2410000000000
mcts,1,2070,-2410000000000
mcts,1,2100,-2410000000000
mcts,1,2130,-2410000000000
mcts,1,2160,-2410000000000
mcts,1,2190,-2410000000000
mcts,1,2220,-2410000000000
mcts,1,2250,-2410000000000
mcts,1,2280,-2410000000000
mcts,1,2310,-2410000000000
mcts,1,2340,-2410000000000
mcts,1,2370,-2410000000000
mcts,1,2400,-2410000000000
gen,2,30,-1170000000000
gen,2,60,-1150000000000
gen,2,90,-1070000000000
gen,2,120,-1070000000000
gen,2,150,-1070000000000
gen,2,180,-1020000000000
gen,2,210,-1020000000000
gen,2,240,-1020000000000
gen,2,270,-1020000000000
gen,2,300,-1020000000000
gen,2,330,-1020000000000
gen,2,360,-1020000000000
gen,2,390,-1020000000000
gen,2,420,-1020000000000
gen,2,450,-1020000000000
gen,2,480,-1020000000000
gen,2,510,-1020000000000
gen,2,540,-1020000000000
gen,2,570,-1020000000000
gen,2,600,-1020000000000
gen,2,630,-1020000000000
gen,2,660,-1020000000000
gen,2,690,-1020000000000
gen,2,720,-1020000000000
gen,2,750,-1020000000000
gen,2,780,-1020000000000
gen,2,810,-1020000000000
gen,2,840,-1020000000000
gen,2,870,-1020000000000
gen,2,900,-1020000000000
gen,2,930,-1020000000000
gen,2,960,-1020000000000
gen,2,990,-1020000000000
gen,2,1020,-1020000000000
gen,2,1050,-1020000000000
gen,2,1080,-1000000000000
gen,2,1110,-1000000000000
gen,2,1140,-1000000000000
gen,2,1170,-1000000000000
gen,2,1200,-1000000000000
gen,2,1230,-1000000000000
gen,2,1260,-1000000000000
gen,2,1290,-1000000000000
gen,2,1320,-1000000000000
gen,2,1350,-1000000000000
gen,2,1380,-1000000000000
gen,2,1410,-1000000000000
gen,2,1440,-1000000000000
gen,2,1470,-1000000000000
gen,2,1500,-1000000000000
gen,2,1530,-1000000000000
gen,2,1560,-1000000000000
gen,2,1590,-1000000000000
gen,2,1620,-1000000000000
gen,2,1650,-1000000000000
gen,2,1680,-1000000000000
gen,2,1710,-1000000000000
gen,2,1740,-1000000000000
gen,2,1770,-1000000000000
gen,2,1800,-1000000000000
gen,2,1830,-1000000000000
gen,2,1860,-1000000000000
gen,2,1890,-1000000000000
gen,2,1920,-1000000000000
gen,2,1950,-1000000000000
gen,2,1980,-1000000000000
gen,2,2010,-1000000000000
gen,2,2040,-1000000000000
gen,2,2070,-1000000000000
gen,2,2100,-1000000000000
gen,2,2130,-1000000000000
gen,2,2160,-1000000000000
gen,2,2190,-1000000000000
gen,2,2220,-1000000000000
gen,2,2250,-1000000000000
gen,2,2280,-1000000000000
gen,2,2310,-1000000000000
gen,2,2340,-1000000000000
gen,2,2370,-1000000000000
gen,2,2400,-1000000000000
sa,2,60,-5490000000000
sa,2,90,-5490000000000
sa,2,120,-1660000000000
sa,2,150,-1660000000000
sa,2,180,-1320000000000
sa,2,210,-1320000000000
sa,2,240,-1320000000000
sa,2,270,-1320000000000
sa,2,300,-1320000000000
sa,2,330,-1320000000000
sa,2,360,-1320000000000
sa,2,390,-1310000000000
sa,2,420,-1310000000000
sa,2,450,-1310000000000
sa,2,480,-1310000000000
sa,2,510,-1310000000000
sa,2,540,-1310000000000
sa,2,570,-1310000000000
sa,2,600,-1260000000000
sa,2,630,-1260000000000
sa,2,660,-1190000000000
sa,2,690,-1190000000000
sa,2,720,-1190000000000
sa,2,750,-1190000000000
sa,2,780,-1190000000000
sa,2,810,-1190000000000
sa,2,840,-1190000000000
sa,2,870,-1190000000000
